State,Year,Price ($/MWh)
UT,2019,22.132777777777775
UT,2020,23.47
UT,2021,20.53
UT,2022,28.02125
UT,2023,28.528
UT,2024,26.796666666666667
VA,2015,75.07
VA,2016,50.153333333333336
VA,2017,90.225
VA,2018,34.21666666666667
VA,2019,31.203333333333333
VA,2020,32.08857142857143
VA,2021,43.12
VA,2022,48.086
VA,2023,
VA,2024,
VT,2015,
VT,2016,
VT,2017,82.18875
VT,2018,
VT,2019,45.04
VT,2020,44.66
VT,2021,
VT,2022,62.06
VT,2023,
VT,2024,
WA,2015,47.28928571428571
WA,2016,41.1525
WA,2017,33.92666666666667
WA,2018,24.66478260869565
WA,2019,22.132777777777775
WA,2020,23.47
WA,2021,20.53
WA,2022,28.02125
WA,2023,28.528
WA,2024,26.796666666666667
WI,2015,59.9175
WI,2016,
WI,2017,33.553333333333335
WI,2018,40.76555555555555
WI,2019,41.008
WI,2020,32.802
WI,2021,32.756
WI,2022,58.07
WI,2023,47.09
WI,2024,48.63
WV,2015,75.07
WV,2016,50.153333333333336
WV,2017,90.225
WV,2018,34.21666666666667
WV,2019,31.203333333333333
WV,2020,32.08857142857143
WV,2021,43.12
WV,2022,48.086
WV,2023,
WV,2024,
WY,2015,47.28928571428571
WY,2016,41.1525
WY,2017,33.92666666666667
WY,2018,24.66478260869565
WY,2019,22.132777777777775
WY,2020,23.47
WY,2021,20.53
WY,2022,28.02125
WY,2023,28.528
WY,2024,26.796666666666667
