Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Raw Cost (Millions of $),CO2 Emissions (Million Metric Tons),Cost ($/MWh),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2022,WY,NG,natural gas,,1661.25445,,22.96939,86.2,8.9,51.88849907971654,13826.533316434457,24.67719074559664,53,5357.397236768877,0.009685393258426966
2022,WI,WNT,onshore wind turbine,,1815.722,,6.19525,,,27.0,3412.0035996699935,99.99989449981841,0,,0.0
2022,AK,TSN,estimated total solar,,15.71979,,,,,,,,0,,0.0
2022,KS,NUC,nuclear,,8981.959,,93.84009,59.3,,6.602123211651267,10447.619500378481,32.658157199124595,0,,0.0
2022,MA,PET,petroleum,,756.06189,0.3,7.31517,137.8,36.5,182.26021152845044,9675.358719641326,35.26484235745716,73,48276.471123283314,0.003775342465753425
2022,MA,NG,natural gas,,15775.96667,,133.50796,1397.9,22.8,88.60946712433692,8462.743538491515,40.31789436228371,53,1445.2363190749566,0.06131140350877193
2022,NE,WNT,onshore wind turbine,,12614.061,,43.03918,,,29.0,3412.000306641929,99.99999101283994,0,,0.0
2022,NE,NG,natural gas,,1260.18185,,13.41907,112.3,10.3,89.11412269586332,10648.51870386802,32.0420153721532,53,8173.423542007054,0.010902912621359223
2022,IL,TSN,estimated total solar,,2794.9352,,,,,53.078,,,0,,0.0
2022,GA,COW,all coal products,7.06,16778.38303,1.36,179.98955,676.3,17.3,40.30781743334655,10727.46698404584,31.806203692581043,95,1031.088631667744,0.03909248554913295
2022,IL,WNT,onshore wind turbine,,23493.80554,,80.16085,,,27.0,3411.999382710477,100.00001809172434,0,,0.0
2022,IL,NUC,nuclear,,98869.581,,1032.95171,641.0,,6.483288323028293,10447.618969883164,32.65815885739712,0,,0.0
2022,IA,COW,all coal products,4.92,18172.12614,0.31,226.117,332.3,21.8,18.28624770926227,12443.067930410041,27.420890242520464,95,1199.6394825817558,0.015243119266055047
2022,CT,TSN,estimated total solar,,1470.31565,,,,,62.06,,,0,,0.0
2022,CA,WNT,onshore wind turbine,,14638.061,,49.94505,,,,3411.999034571587,100.00002829509631,0,,0.0
2022,DE,TSN,estimated total solar,,221.93297,,,,,48.086,,,0,,0.0
2022,NM,TSN,estimated total solar,,2566.43969,,,,,28.675625,,,0,,0.0
2022,NC,WNT,onshore wind turbine,,546.755,,1.86553,,,,3412.0035482071494,99.99989600810494,0,,0.0
2022,NC,TSN,estimated total solar,,11858.41022,,,,,39.548,,,0,,0.0
2022,NC,PET,petroleum,,277.75199,,3.77869,74.2,62.0,267.1448006547136,13604.546991724525,25.079850156535727,73,223220.7229190329,0.0011967741935483872
2022,ME,WNT,onshore wind turbine,,2716.384,,9.26829,,,,3411.99550579005,100.00013171793287,0,,0.0
2022,MD,WNT,onshore wind turbine,,497.608,,1.69784,,,,3412.003022459446,99.99991141685906,0,,0.0
2022,MD,TSN,estimated total solar,,1996.37016,,,,,48.086,,,0,,0.0
2022,MD,PET,petroleum,,142.8643,,1.92654,48.4,28.3,338.7830269703488,13485.104396269748,25.301991736480943,73,198090.0756872081,0.0017102473498233216
2022,MD,COW,all coal products,12.38,4639.31405,2.27,52.48991,163.7,5.9,35.285388795785444,11314.153220560698,30.1569188032519,95,1271.7397305750405,0.027745762711864404
2022,ND,WNT,onshore wind turbine,,16249.888,,55.44463,,,28.0,3412.0007473282276,99.9999780970673,0,,0.0
