Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Cost ($/MWh),Raw Cost (Millions of $),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2022,NM,PET,petroleum,,18.92466,,0.21445,,6.8,11331.775577474047,30.1100209466076,73,827.2196171556054,0.0
2022,SD,TSN,estimated total solar,,4.34446,,,43.7,,,,0,,0.0
2022,SD,NG,natural gas,,1424.3383,,15.29937,,57.3,10741.387772834587,31.764982999953588,53,569.2935519602331,0.0
2022,TX,PET,petroleum,,373.50556,,5.26079,,82.4,14084.90411762545,24.224517053902552,73,1028.1980005866578,0.0
2022,TX,NG,natural gas,,256140.17982,,2324.03563,,11969.3,9073.295847739286,37.60485778549961,53,480.8846799301822,0.0
2022,TX,COW,all coal products,8.42,85336.95279,0.53,926.22913,,2128.5,10853.787248289676,31.43603169978901,95,1031.1097885875192,0.0
2022,WA,TSN,estimated total solar,,476.50139,,,28.02125,,,,0,,0.0
2022,WI,NG,natural gas,,23276.42845,,201.51365,,1047.8,8657.412817128308,39.41131227160046,53,458.84287930780033,0.0
2022,VT,WNT,onshore wind turbine,,409.185,,1.39614,,,3412.001906228234,99.99994413167734,0,0.0,0.0
2022,VA,PET,petroleum,,651.86699,0.23,9.23575,,126.4,14168.15108247773,24.0821824960615,73,1034.2750290208744,0.0
2022,VA,NUC,nuclear,,28197.337,,294.59503,,168.7,10447.618865568758,32.65815918347299,0,0.0,0.0
2022,MO,TSN,estimated total solar,,680.75981,,,43.7,,,,0,,0.0
2022,NV,PET,petroleum,,9.10575,,0.11115,,3.0,12206.57276995305,27.95215384615385,73,891.0798122065728,0.0
2022,MS,COW,all coal products,10.62,5651.36728,0.48,64.18003,,253.4,11356.549100450608,30.04433802751417,95,1078.8721645428077,0.0
2022,WI,PET,petroleum,0.4,175.11527,5.86,2.37754,,18.0,13576.999881278198,25.130736022948092,73,991.1209913333086,0.0
2022,WI,COW,all coal products,5.12,21922.94807,0.4,228.62892,,542.9,10428.748874010356,32.71725152480272,95,990.7311430309837,0.0
2022,CA,TSN,estimated total solar,,62909.92353,,,27.3175,,,,0,,0.0
2022,FL,TSN,estimated total solar,,13884.58416,,,31.01,,,,0,,0.0
2022,KY,COW,all coal products,8.85,47053.32664,2.51,502.52881,,1194.1,10679.9847297683,31.947611221669064,95,1014.5985493279886,0.0
2022,IL,NG,natural gas,,19789.29049,,176.08612,,1025.3,8898.051200419768,38.34547501636131,53,471.59671362224776,0.0
2022,AL,PET,petroleum,,40.91709,,0.71551,,11.0,17486.825187226164,19.511832270688046,73,1276.5382386675103,0.0
2022,ID,WNT,onshore wind turbine,,2441.688,,8.33103,29.55555555555556,,3411.9961272693317,100.00011350337232,0,0.0,inf
2022,MI,TSN,estimated total solar,,1105.07436,,,53.078,,,,0,,0.0
2022,NJ,NUC,nuclear,,28318.8,,295.86403,,179.2,10447.618896280916,32.65815908747001,0,0.0,0.0
2022,VA,COW,all coal products,16.73,3346.07301,1.52,38.5527,,110.8,11521.77489396742,29.613492985238395,95,1094.568614926905,0.0
2022,AK,WNT,onshore wind turbine,,139.276,,0.47521,,,3412.002067836526,99.99993939521475,0,0.0,0.0
2022,NC,NG,natural gas,,58131.39645,,489.05511,,3494.4,8412.925542235103,40.55664088396909,53,445.88505373846044,0.0
2022,AR,TSN,estimated total solar,,966.73478,,,43.7,,,,0,,0.0
2022,OR,WNT,onshore wind turbine,,8149.18841,,27.80503,29.55555555555556,,3411.9998950913937,100.00000307469547,0,0.0,inf
2022,OR,NG,natural gas,,19054.76026,,147.43982,,797.2,7737.689584555289,44.095850094716596,53,410.0975479814303,0.0
2022,WA,PET,petroleum,,43.723,,1.48453,,6.3,33953.068179219175,10.049165459775148,73,2478.5739770829996,0.0
2022,WA,NG,natural gas,,14532.32189,,121.99845,,700.3,8394.973007303792,40.64337070567699,53,444.93356938710093,0.0
2022,NC,NUC,nuclear,,42644.282,,445.53121,,249.5,10447.618979726285,32.65815882662856,0,0.0,0.0
2022,ME,TSN,estimated total solar,,768.03807,,,62.06,,,,0,,0.0
2022,KS,TSN,estimated total solar,,161.27242,,,29.33,,,,0,,0.0
2022,NC,COW,all coal products,9.04,14673.74341,1.8,161.93508,,539.9,11035.703397242383,30.9178298580641,95,1048.3918227380263,0.0
2022,ND,TSN,estimated total solar,,1.71878,,,43.7,,,,0,,0.0
2022,PA,NUC,nuclear,,76166.017,,795.75352,,503.0,10447.61891645194,32.65815902441751,0,0.0,0.0
2022,IN,WNT,onshore wind turbine,,9985.205,,34.06953,27.0,,3412.0010555617037,99.99996906326561,0,0.0,inf
