period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",LA,Louisiana,79.2,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",MA,Massachusetts,31,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",MD,Maryland,27.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",ME,Maine,10.8,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",MI,Michigan,51.7,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",MN,Minnesota,35.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",MO,Missouri,39.6,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",MS,Mississippi,25.7,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",MT,Montana,12.2,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",NC,North Carolina,55.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",ND,North Dakota,11.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",NE,Nebraska,15.9,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",NH,New Hampshire,9.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",NJ,New Jersey,46.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",NM,New Mexico,16.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",NV,Nevada,17.1,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",NY,New York,73.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",OH,Ohio,67.4,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",OK,Oklahoma,33,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",OR,Oregon,20.2,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",PA,Pennsylvania,64,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",RI,Rhode Island,4.4,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",SC,South Carolina,32.2,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",SD,South Dakota,8.1,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",TN,Tennessee,45.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",TX,Texas,294,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",UT,Utah,19.9,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",VA,Virginia,51.3,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",VT,Vermont,4.7,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",WA,Washington,43.8,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",WI,Wisconsin,33,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",WV,West Virginia,11.5,Million metric tons CO2  
2020,PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",WY,Wyoming,9.7,Million metric tons CO2  
2019,CLEIV,Coal expenditures in the electric power sector,AK,Alaska,38.7,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,AL,Alabama,615.3,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,AR,Arkansas,463.4,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,AZ,Arizona,642.5,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,CA,California,0,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,CO,Colorado,469.1,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,CT,Connecticut,2.9,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,DC,District of Columbia,0,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,DE,Delaware,5.6,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,FL,Florida,632.3,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,GA,Georgia,714,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,HI,Hawaii,49.8,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,IA,Iowa,341.8,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,ID,Idaho,0,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,IL,Illinois,1003.9,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,IN,Indiana,1407,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,KS,Kansas,316.9,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,KY,Kentucky,1064.1,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,LA,Louisiana,272.2,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,MA,Massachusetts,0,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,MD,Maryland,178.6,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,ME,Maine,5.7,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,MI,Michigan,832.7,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,MN,Minnesota,376.2,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,MO,Missouri,942.6,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,MS,Mississippi,148.5,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,MT,Montana,303.4,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,NC,North Carolina,859.7,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,ND,North Dakota,468.2,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,NE,Nebraska,275,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,NH,New Hampshire,14,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,NJ,New Jersey,42.4,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,NM,New Mexico,373.4,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,NV,Nevada,84.2,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,NY,New York,10.8,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,OH,Ohio,860.5,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,OK,Oklahoma,154.2,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,OR,Oregon,59.6,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,PA,Pennsylvania,749.9,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,RI,Rhode Island,0,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,SC,South Carolina,501.1,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,SD,South Dakota,49.5,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,TN,Tennessee,394.9,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,TX,Texas,1956,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,UT,Utah,508.1,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,VA,Virginia,117.5,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,VT,Vermont,0,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,WA,Washington,180.2,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,WI,Wisconsin,582.7,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,WV,West Virginia,1237.4,Million dollars
2019,CLEIV,Coal expenditures in the electric power sector,WY,Wyoming,617.4,Million dollars
2019,CLTCE,Coal CO2 emissions for all sectors,AK,Alaska,1.7,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,AL,Alabama,30.2,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,AR,Arkansas,22.9,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,AZ,Arizona,24.6,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,CA,California,3,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,CO,Colorado,26.1,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,CT,Connecticut,.1,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,DC,District of Columbia,0,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,DE,Delaware,.2,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,FL,Florida,22.3,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,GA,Georgia,26.1,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,HI,Hawaii,1.4,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,IA,Iowa,25.5,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,ID,Idaho,.2,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,IL,Illinois,56.5,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,IN,Indiana,78.1,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,KS,Kansas,18.9,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,KY,Kentucky,54.9,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,LA,Louisiana,8.7,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,MA,Massachusetts,0,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,MD,Maryland,7.4,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,ME,Maine,.2,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,MI,Michigan,42.7,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,MN,Minnesota,19.6,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,MO,Missouri,55.9,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,MS,Mississippi,4.9,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,MT,Montana,15.2,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,NC,North Carolina,30.4,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,ND,North Dakota,35.6,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,NE,Nebraska,23,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,NH,New Hampshire,.4,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,NJ,New Jersey,1.3,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,NM,New Mexico,14.5,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,NV,Nevada,3.6,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,NY,New York,1.3,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,OH,Ohio,56.4,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,OK,Oklahoma,9,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,OR,Oregon,2.6,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,PA,Pennsylvania,53.8,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,RI,Rhode Island,0,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,SC,South Carolina,15.4,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,SD,South Dakota,3,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,TN,Tennessee,20.7,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,TX,Texas,94.9,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,UT,Utah,25.5,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,VA,Virginia,8,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,VT,Vermont,0,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,WA,Washington,7.7,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,WI,Wisconsin,26.8,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,WV,West Virginia,59.4,Million metric tons CO2  
2019,CLTCE,Coal CO2 emissions for all sectors,WY,Wyoming,39.2,Million metric tons CO2  
2019,FFTCE,Fossil fuel CO2 emissions for all sectors,AK,Alaska,34.3,Million metric tons CO2
